,USD_EUR
33238.0,0.68836389669
33239.0,0.68836389669
33240.0,0.68349429624
33241.0,0.685260056191
33242.0,0.690002553009
33245.0,0.701498400584
33246.0,0.703487185981
33247.0,0.697500854439
33248.0,0.700829782462
33249.0,0.702045057252
33252.0,0.706723769947
33253.0,0.707538826193
33254.0,0.70855652864
33255.0,0.694782185785
33256.0,0.688937726919
33259.0,0.683559705522
33260.0,0.684139591842
33261.0,0.681366002562
33262.0,0.681106116333
33263.0,0.682533290561
33266.0,0.681956122943
33267.0,0.681784092614
33268.0,0.682300444178
33269.0,0.67801666565
33270.0,0.673174015483
33273.0,0.671451880401
33274.0,0.670088585711
33275.0,0.665650440328
33276.0,0.665251897631
33277.0,0.667779632721
33280.0,0.664156156395
33281.0,0.666293542283
33282.0,0.668484945719
33283.0,0.671411306566
33284.0,0.675867475905
33287.0,0.679135596213
33288.0,0.682468077556
33289.0,0.684523605797
33290.0,0.682426161489
33291.0,0.687478945957
33294.0,0.694767704418
33295.0,0.695033292095
33296.0,0.695415128061
33297.0,0.69728685684
33298.0,0.702799955021
33301.0,0.70226691761
33302.0,0.702257054172
33303.0,0.703987384546
33304.0,0.706439193246
33305.0,0.71476562835
33308.0,0.721256139693
33309.0,0.718685093752
33310.0,0.720367675662
33311.0,0.722000808641
33312.0,0.729229714652
33315.0,0.744174970419
33316.0,0.754119377097
33317.0,0.752490744364
33318.0,0.747590888362
33319.0,0.750559166579
33322.0,0.762503145325
33323.0,0.768982328786
33324.0,0.777314843604
33325.0,0.777707784077
33326.0,0.774929481417
33329.0,0.768196658345
33330.0,0.764742320075
33331.0,0.762404318258
33332.0,0.75932450492
33333.0,0.765081672469
33336.0,0.768858168734
33337.0,0.76087287336
33338.0,0.764093708452
33339.0,0.761011841344
33340.0,0.765175339929
33343.0,0.761927982567
33344.0,0.757920266788
33345.0,0.760196130602
33346.0,0.766835881785
33347.0,0.786843968841
33350.0,0.80053796151
33351.0,0.792342799189
33352.0,0.794798836415
33353.0,0.79389022086
33354.0,0.796374901449
33357.0,0.800646922714
33358.0,0.783668351554
33359.0,0.77666283513
33360.0,0.782686964349
33361.0,0.793392626209
33364.0,0.79085768516
33365.0,0.783165083368
33366.0,0.786998780152
33367.0,0.790939002784
33368.0,0.786967813016
33371.0,0.781304935503
33372.0,0.775151735952
33373.0,0.771360912057
33374.0,0.77322776197
33375.0,0.788450773076
33378.0,0.787550403226
33379.0,0.781176764678
33380.0,0.784326028644
33381.0,0.782319577547
33382.0,0.77941107699
33385.0,0.777937687191
33386.0,0.774785384449
